"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="5173CG","SYGROUP-CG","364","0.000","","0.075","","-","-","","","0","","-","-","","","","","Active"
="1538","SYMLIFE","120","0.220","0.220","0.210","","0.220","0.220","","","50","","-","-","","","-1.22","","Active"
="1538WC","SYMLIFE-WC","120","0.000","","0.050","","-","-","","","0","","-","-","","","","","Active"
="0279","SYNERGY","401","0.410","0.420","0.410","","0.430","0.410","","","3881","","-","-","","","5.57","","Active"
="0050","SYSTECH","405","0.175","0.170","0.180","","0.180","0.170","","","14483","","-","-","","","-1.17","","Active"
="0050WA","SYSTECH-WA","405","0.035","0.035","0.035","","0.035","0.035","","","100","","-","-","","","","","Active"
="7228","T7GLOBAL","161","0.260","0.260","0.260","","0.265","0.255","","","27728","","-","-","","","5.73","","Active"
="7228WC","T7GLOBAL-WC","161","0.035","0.050","0.040","","0.050","0.035","","","1316","","-","-","","","","","Active"
="7228WD","T7GLOBAL-WD","161","0.040","0.040","0.040","","0.040","0.040","","","4548","","-","-","","","","","Active"
="5012","TAANN","125","4.150","4.240","4.140","","4.240","4.130","","","14890","","-","-","","","41.69","","Active"
="5012C1","TAANN-C1","325","0.070","0.075","0.075","","0.075","0.070","","","90","","-","-","","","","","Active"
